och;and
nödvändig;1. necessary- 2. [ett ~t ont] a necessary evil
full;1. full- crowded- 2. complete- whole- perfect- 3. drunk
en frihet;a freedom
att passa;1. to look after- to watch over (children- machines)- 2. to fit- to suit (e.g. clothes)- to be convenient (e.g. time)- 3. to pass (a ball)
lokal;1. local- 2. [~tidningarna] the local newspapers
ytterligare;additional- further
att öppna;to open
att införa;to introduce (a measure- a product- a new law etc)
en ledare;a leader
en mamma;1. a mom- a mum- a mummy- 2. [att vara ~ledig] to be on maternity leave
ett sammanhang;1. a context- 2. [det beror på ~et] it depends on the context (not a loan word)
en svensk;a male Swede
hemma;1. at home- 2. [borta bra men ~ bäst] there's no place like home
en produkt;a product (loan word)
att glömma;1. to forget- 2. to leave something behind by accident
ett avtal;1. an agreement- 2. a legally binding agreement- a contract- 3. [ett hyres~] a rental agreement- a lease
en lek;1. a game (played by children) 2. a deck of cards
kul;1. fun- cool- 2. [vad ~!] How cool! How nice!
en natt;1. a night- 2. [i ~] a) tonight- this evening- b) last night
att förändra;to change- to modify
att ange;to indicate- to state- to mention- to report (someone- a crime)
någonting;something- anything (NOT: "något")
förstås;of course- it stands to reason
en individ;an individual (loan word)
att älska;to love
en motion;1. a physical exercise- 2. a (political) motion (loan word)
glad;1. glad- happy- 2. [~ påsk] happy Easter
ned;1. down- downwards- 2. [att ladda ~] to download- 3. [att varva ~] to change down (gears in a car)- to take it easier
en dator;a computer
en miljö;1. an environment- 2. [~ombyte] a change of scenery (loan word from French)
en ek;an oak
åtminstone;at least
att presentera;to present (loan word)
att stanna;1. to stay- to remain- 2. to stop
att byta;1. to switch- to exchange sth.- 2. to change (places- clothes- etc.) 3. to replace sth.
ett alternativ;an alternative (loan word)
en minut;1. a minute- 2. [klockan var fem ~er i två] it was 1.55- it was five to two (loan word)
ingenting;1. nothing- anything- 2. [det gör ~!] it doesn't matter! never mind! it's quite all right!
att uppleva;to experience (an event- adventure)
en katt;a cat
att konstatera;1. to establish (i.e. a fact)- 2. to confirm- to state
dit;1. there- thither (movement away from self)- 2. [att sätta ~ någon] to put someone in prison- to frame someone- to set someone up
klart;clearly [~ och tydligt]
nuvarande;1. present- current- 2. ruling- currently in office- 3. [i ditt ~ tillstånd] in your current state
att styra;1. to steer- to navigate- 2. to govern- to rule- to control
att förlora;1. to be defeated- to lose (e.g. a game)- 2. to lose sth.
vit;1. white- 2. [det ~a huset] the White House
en klocka;1. a watch- a clock- 2. a bell- 3. [en väckar~] an alarm clock
att påstå;1. to claim- to allege- to assert- 2. to state (more informal- not as strong as "att hävda")
en skatt;1. a tax- 2. [en ~ebetalare] a taxpayer
att besluta;1. to decide- 2. to decide sth.- 3. [att ~ sig] to make one's mind up
en befolkning;a population
att avse;1. to be aimed at- directed towards- 2. [~dd för mig] intended for me
en ro;1. a state of being undisturbed- 2. a peace- a quiet- a calm- 3. [lugn och ~] peace and quiet
privat;private (not public)
ett steg;1. a step- 2. [han tog ett ~ tillbaka] he took a step back
en art;a kind- a species
att stödja;to support
ond;1. evil- 2. [det ~a ögat] the evil eye
en plan;1. a flat open space- 2. [fotbolls~] football pitch- soccer ground- 3. [fotbolls~en] (slang) the park- 3. a drawing- a blueprint- 4. a map- 5. a plan
en resa;1. a trip- a journey- an outing- a holiday- 2. [trevlig ~!] have a nice trip!- 3. (law) an offence- a conviction
utom;1. except for- apart from- 2. [alla ~ mig] everyone but me- 3. [~ sig av glädje] beside oneself with joy
en hund;1. a dog- 2. [en vakt~] a watchdog
en syn;1. (an) eyesight- vision- 2. a sight- a spectacle- 3. an opinion- a view- 4. a vision- a hallucination- 5. a survey
att acceptera;to accept (loan word)
ett huvud;a head
ett sök;1. a search via a search engine on the internet- 2. a scenting- a tracking (hunting term)
snabb;fast
så kallad;so-called
framför;1. in front of- 2. [~ teven] in front of the TV
en ände;1. an end (in a literal sense- e.g. of a rope)- 2. a behind- a bottom (of a person- as in "back end")
att bilda;1. to form- to make- to shape- 2. to educate- to inform (oneself)- 3. [att ~ sig en uppfattning om] to form an opinion of
en orsak;1. a cause- 2. [ingen ~!] no problem! 3. [~en till] the cause of
att försvinna;to disappear- to vanish
ett fel;1. a mistake- an error- a fault- 2. [han gjorde flera ~] he made several mistakes- 3. a flaw- an imperfection- a defect- 4. (a) fault- blame- 5.  [vems är ~et?] who is to blame?- whose fault is it?
ett innehåll;a content
en natur;1. a nature- a temperament- a character- 2. a countryside- a landscape- a nature- a scenery (loan word)
ett begrepp;1. a concept- 2. [jag har inget ~ om politik] I have no clue about politics
för att;in order to / so that
en konflikt;a conflict (loan word)
tack;thank you
ett djur;an animal
en chans;a chance (loan word)
samtidigt som;at the same time as
demokratisk;democratic (loan word)
fel;1. wrongly- wrong- 2. [att höra ~] to hear (sth.) wrongly- to mishear- 3.  [jag hade ~] I was wrong
ett läge;1. a position (where you are)- 2. a situation (how you are)- 3. [hur är ~t?] what's up? how's life? (etc).
att sprida;to spread
en växt;a plant
att tjäna;1. to earn (money)- to gain- 2. to serve- 3. [vad ~r det till?] what's the point of that? what purpose does that serve?
ett argument;an argument (loan word)
att behandla;1. to treat (patients)- to deal with (people)- 2. to discuss- to consider
ren;1. clean- tidy- 2. pure- [~t siden] pure silk- 100% silk- 3. genuine- 4. mere- sheer- [~ lättja] sheer laziness
en fru;1. a lady- a married woman- 2. a housewife- 3. a mistress
sjuk;1. sick- 2. [att vara ~skriven] to have been given a sick note
istället för;instead of
ett våld;(a) violence
att utföra;to carry out- to execute (a concrete piece of work)
en ställning;1. a position- 2. a status- 3. [hur är ~en?] (sport) what's the score?- 4. [tand~] braces (not a loan word)
främst;1. first- in front- foremost- principally- chiefly- 3. [att ligga ~] to be in the lead (sports)
att räcka;1. to reach- to hand over- 2. to suffice- to be enough
bättre;1. better- 2. [allt ~] better and better- 3. [att vara ~ än vanligt] to be better than usual- 4. [ännu ~] even better
att fundera;to think about- to reflect- to ponder- to consider
visst;1. certainly- no doubt- 2. probably- 3. [vi har ~ träffats förr] I am sure we've met before
en sommar;1. a summer- 2. [på ~en] in summer- in the summer (general meaning)- 3. [i ~as] last summer- the summer before this one
en rörelse;1. a movement- a motion- a gesture- 2. a movement (political- etc)- 3. a business- a company- 4. an agitation- an emotion
en kund;a customer
ett villkor;1. a condition- a term- 2.  [på ett ~] on one condition
högt;1. highly- 2. loudly- aloud- 3. [att läsa ~] to read aloud
en president;a president (loan word)
emellertid;however (NOT: dock- ändå or däremot)
en händelse;1. a thing which happens- an event- an occurrence
att uppstå;1. to occur- to come up- 2. [ett fel har ~tt] en error has occurred
tillbaka;1. back- backwards- 2. (as particle used with verbs) [att ta ~] to take back- to withdraw- to retract- 3. [sedan lång tid ~] for a long time- since a long time ago
förutom;1. in addition to- aside from- apart from- 2. with the exception of- other than
i samband med;in conjunction with- in relation to
styck;piece- unit: each
ett utskott;a committee- a parliamentary committee (not a loan word)
en muslim;a Muslim
en ordning;1. an orderliness- tidiness- 2. a way of doing things- 3. an order
ett uppdrag;a commission- an assignment
en mark;1. (a) ground- 2. a (piece of) land- 3. (a) soil- 4. a field- 5. [jakt~er] hunting grounds
en säkerhet;1. a certainty- 2. a safety- a security- 3. a confidence- an assurance- 4. [med all ~] without a doubt- in all certainty
en linje;a line in general sense (but also for telephones- public transport)
en bank;a bank (loan word)
att önska;to wish
givetvis;of course- it's a given
en studie;1. a study- 2. [den mest omfattande ~n] the most comprehensive study
en fredag;a Friday
en lärare;a teacher
statlig;state-owned- government-led- public (as opposed to private)
en söndag;1. a Sunday- 2. [var var du i ~s kväll?] where were you last Sunday evening?
speciellt;especially (loan word)
röd;1. red- 2. [trafikljuset slog om till ~tt] the traffic lights turned red
en television;a television (loan word)
ett hot;a threat- an intimidation
ett verk;1. a work (e.g. sth. produced by a writer or artist)- a creation- an achievement- 2. civil service department- 3. a works (e.g. factory)- 4. a mechanism (e.g. of a watch)
att publicera;to publish (loan word)
fel;1. wrong- 2. [att uppge ~ adress] to give (a/the) wrong address- 3. [att vakna på ~ sida] to get out of the wrong side of the bed
en stund;a short period of time- a while
att tillhöra;to belong to- to be a member of- to be among (a group of sth.)
att omfatta;1. to include- comprise- contain- 2. to comprehend- 3. to cover- 4. to embrace (figuratively- e.g. new ideas)
ett material;a material (loan word)
en pelare;a column- a pillar
ett hjärta;a heart
knappast;1. hardly- barely- scarcely- 2. exclamation of disbelief
att befinna sig;1. to be- 2. to be situated- 3. to feel
en part;1. a portion- a share- 2. a party (e.g. one of the sides in a legal battle)
trevlig;nice- pleasant
en höst;an autumn
att skilja;1. to distinguish- to tell the difference (between)- 2. to separate- to sever
ens;1. even- 2. [du har ju inte ~ försökt] you haven't even tried
en förmåga;1. an ability- power- capacity- 2. an aptitude- a talent- capability- 3. [efter bästa ~] to the best of (my- her- etc.) ability
att döda;to kill
ett stånd;1. a stall- a booth- 2. a state- a condition (e.g. of object- such as furniture)
att peka;to point (at)
en bedömning;a judgement- an assessment- an evaluation
att ringa;1. to ring- to call- 2. [att ~ ett samtal] to make a phone call
att betrakta;to look at- to contemplate
en by;a village
utifrån;1. from the outside- 2. according to- on the basis of
en brist;1. a lack- a scarcity- a want- 2. [i ~ på bättre] for lack (want) of something better
att hänga;1. to hang- 2. [~er du med?] du you follow me?- are you with me?- 3. [min dator ~er sig hela tiden!] my computer keeps freezing!
tillräckligt;enough- sufficiently
att samla;1. to collect- to gather- to organize- 2. [att ~ sig] to pull oneself together- to compose oneself
svart;black
en bakgrund;1. a background (i.e. a personal history)- 2. a backdrop- a setting
ett skott;a shot
en ö;1. an island- 2. [en öde ~] a desert island
en kärlek;1. a love- 2. [~ vid första ögonkastet] love at first sight
en metod;a method (loan word)
äldre;older
säker;1. sure- certain- 2. [jag är ~ på att hon kommer] I am sure she'll come
en borgare;a citizen- (hint)- a burgher
en gud;a god
en insats;1. an effort- an achievement- a contribution- a performance (sport)- 2. a stake- a deposit (in a bank account)- 3. an insertion- a liner- a cartridge
tysk;German
en kontroll;1. a check- a check-up- an inspection- 2. (a) control- 3. a checkpoint- 4. [en hälso~] a health check-up (loan word)
att lösa;1. to solve (a problem)- 2. to dissolve sth. in a solution
att kolla;to look- to check (colloq.)
att fylla;1. to fill- 2. [att ~ år] to have a birthday- 3. [jag ~er år idag] it's my birthday today
en bestämmelse;1. a regulation- 2. a destiny- a mission
ett ris;a rice (loan word)
att drabba;1. to affect- 2. to hit- to strike
ett nät;1. a net (e.g. a fishing net- a spider's web etc) 2. the internet- 3. [att lägga ut på ~et] to post online
en teknik;1. a technology- 2. a technique- a method (loan word)
en resurs;a resource (loan word)
ett försök;1. an attempt- a try- 2. an effort- 3. an experiment- a trial (in medical sense)- 4. [det är värt ett ~] it's worth a try
att fara;1. to go- to travel- 2. to move very quickly- 3. to fare- to do well or badly with sth.
numera;now- today (not: "nu" or "idag")
ett tillstånd;1. a permit- 2.   [ett uppehålls~] a residence permit- 3. a condition- a state (formal word)
värd;worth
igen;1. shut- closed- to- 2. together- 3. down- 4. [~bommat] boarded up
imorgon;tomorrow
en klass;1. a class- a grade (level in school)- 2. a (social) class- 3. a classification- 4. [att gå i första ~] to be in first grade- 5. [en över~] an upper class
att uttrycka;to express (oneself)
en slutsats;1. a conclusion- 2. [att dra ~] to draw a conclusion
global;global (loan word)
mitt;1. middle- (right) in the middle of- 2. [~ emellan] halfway between- 3. [~ fram] right in front- 4. [~ framför ögonen på honom] right in front of his nose
en stol;a chair
effektiv;effective- efficient (loan word)
att resa;to travel
att förbättra;to improve- to better
att rädda;to rescue or save (someone)
en list;1. a cunning- 2. a trick- a stratagem- 3. a strip of wood or metal- e.g. a skirting board- 4.
en relation;a relation- a relationship (loan word)
att agera;1. to act- to do sth.- 2. to perform a theatrical role- 3. to behave in a certain way
central;central (loan word)
en undersökning;1. an investigation- inspection- examination (by an authority- e.g. police- doctors etc)- 2. a search- an inquiry- 3. a poll- a study- an analysis- 4. (a) testing
att uppnå;to reach a goal- to reach sth. abstract
ett perspektiv;a perspective (loan word)
ytterligare;1. additional- further- 2. more- another
flera;1. several (people- things etc.)- 2. [på ~s begäran] at the request of several people- by popular request
en krona;1. a Swedish crown (SEK)- 2. a crown- a top of something- 3. [~ eller klave] heads or tails (phrased used when tossing a coin)
plötsligt;suddenly
naturlig;1. natural- 2. [han dog en ~ död] he died of natural causes (loan word)
en ålder;1. an age- 2. [han avled vid 93 års ~] he died at the age of 93
en process;1. a process- 2. a trial (loan word)
ett uttryck;an expression (facial as well as verbal)
en lista;1. a list- 2. [att stå på ~n] to be on the list
allra;of all- very
en sökning;a search (computing)
en ökning;1. an increase- 2. [en betydande ~ av utsläpp] a significant increase in emissions
därför att;because (not: "för att")
rysk;Russian
att jämföra;to compare
tills;1. till- until- 2. [~ döden skiljer oss åt] till death do us part
intresserad;interested
totalt;totally
att hantera;1. to handle- to manage- 2. to restrain
att förvänta;1. to expect- 2. [inte ~ sig svar] don't expect an answer / any answers
ett medel;1. a means- an instrument- 2. a medicine- 3. a means- funds- money- 4. [ändamålet helgar ~en] the end justifies the means
att vika;to fold
att döma;1. to judge- to sentence- 2. [inte ~ hunden efter håren] don't judge a book by its cover
att besöka;to visit
ett hem;a home
att täcka;1. to cover- 2. to protect- to shield- 3. [att ~ kostnader] to cover expenses- 4. [att ~ behov] to meet (a) need(s)
borgerlig;1. middle-class- bourgeois- 2. civil- 3. non-socialist- right-wing
var;where
teknisk;technical (loan word)
att kasta;to throw
en hemsida;a home page
att bedöma;to appraise- to estimate- to judge/grade- to form an opinion
en torsdag;a Thursday
en tillväxt;a growth (usually used figuratively)
en läsare;1. a reader- 2. [en webb~] a web browser
en forskare;a researcher
ett bidrag;a contribution- a benefit
en onsdag;1. a Wednesday- 2. [julafton inföll på en ~] Christmas Eve fell on a Wednesday
en vilja;a will
en sol;a sun
inte minst;not least
en analys;an analysis (loan word)
ovan;over- above (as in the position of something)
en lagstiftning;a legislation
militär;military (loan word)
att toppa;to top (loan word)
en sort;a sort- a kind
en fördel;an advantage- a benefit
att skydda;to protect
att nyttja;to use- to make use of
att utnyttja;to exploit- to abuse- to take advantage of
en teori;a theory (loan word)
fransk;French
att inleda;to begin- to commence (only used with nouns)
en helg;1. a weekend- 2. a holiday- 3. [trevlig ~!] have a nice weekend!
att undvika;to avoid
ett ryck;1. a whim- 2. a jerk- a pull- 3. [han vaknade med ett ~] he woke with a start
ett tryck;1. a pressure- 2. a print- a printed publication- printing- a typeset- 3. [vilket ~ det var] there was a terrific atmosphere (colloquial)
tydligen;1. clearly- evidently- manifestly- 2. apparently (ends with "-en")
aktiv;active (loan word)
att höja;1. to raise- 2. [att ~ ett ögonbryn] to raise an eyebrow- 3. to increase
en pappa;1. a dad- daddy- 2. [att vara ~ledig] to be on paternal leave
varken (...) eller;neither (...) nor
religiös;religious (loan word)
att råka;1. to happen to do- to accidentally do- 2. to encounter- to meet
verklig;1. real- 2. [i ~a livet] in real life
rent;1. cleanly- purely- properly- 2. quite- completely- absolutely- 3. [~ ut sagt] to put it bluntly- 4. [det är ~ otroligt!] that's absolutely incredible!
fantastisk;fantastic (loan word)
grundläggande;fundamental (not a loan word)
att upptäcka;to discover
att erkänna;1. to admit- 2. to recognize- 3. to acknowledge
helig;holy
en lön;1. a salary- 2. [en ~tagare] a wage earner- a salaried employee- 3. [att ha en låg tim~] to have a low hourly pay rate
historisk;historical (loan word)
en rest;1. (a) rest- 2. a remainder- 3. [mat~er] left-overs (of a meal)
halv;1. half- 2. [en och en ~ timme] one and a half hours
en andel;1. a share- a part- 2. a ratio
ett besök;a visit
att pågå;1. to be going on- 2. to last
en samling;1. a collection- 2. a gathering of people- 3. (a) composure
ett flertal;a majority (not a loan word)
snarare;sooner- rather- more likely- better
att försvara;to defend
en modell;a model (loan word)
skön;1. nice- pleasant- beautiful- 2. [en ~ kille] a nice guy- a pleasant chap
ett vapen;a weapon
således;1. thus- 2. [~ ligger saken till] that is how the matter stands
en förening;1. an organized group of people with a specific set of aims- i.e. a club- association etc- 2. a chemical compound
att lyfta;1. to lift sth. to take money out of one's account- 2. to take off- 3. [att ~ sig] to lift oneself up- to have a facelift
en eftermiddag;an afternoon
en soldat;a soldier (loan word)
att märka;1. to notice- to pay attention to- 2. to put a mark on sth.- to scar
en gemenskap;a fellowship- a community
att ösa;to pour- to scoop- to ladle
fast;but- though- although (informal)
en styrka;1. a strength- a force- 2. [väpnade ~or] armed forces
att ersätta;1. to replace- to substitute- 2. to compensate s.o. for sth.
en kille;1. a boy- a lad- 2. a guy- a chap- a fellow- 3. a boyfriend
fullt;fully
att ägna;1. to devote- to spend time (working on sth.)- 2. to suit (a purpose)- 3. [att ~ sig åt något] to dedicate one's time to sth.
oavsett;regardless of
en vård;1. a care- looking after patients- 2. a treatment- 3. [~hem] nursing home- care home
en poäng;1. a point (given in a game or sporting event)- 2. a credit- a mark (as in those given in school etc)
att satsa;1. to stake- to invest- 2. [att ~ på] to put your faith in sth.- to go in for sth.- to concentrate on
en moderat;1. a moderate conservative- 2. a person who votes for or supports the ideas of the "~a Samlingspartiet"- (loan word)
att rida;to ride- as on a horse
jo;yes (in answer to a negative question)
en tisdag;a Tuesday
död;dead
allmänt;commonly- generally- universally
att avsluta;1. to finish sth.- to complete sth.- (usually followed by nouns)- 2. [att ~ samtalet] to finish a phone call
att sova;1. to sleep- 2. [har du ~it gott?] did you sleep well?
inne;1. indoors- inside- 2. [han var så ~ på samtalet att ...] he was so engrossed by the conversation that ...- 3. [nu är tiden ~] now the time has come- 4. [~ på rätt spår] on the right track (figuratively)
en flicka;a (little) girl
sedan;1. since- 2. after- 3. when
total;total (loan word)
allvarlig;serious (not a loan word)
fram;1. forward- up- out- 2. [han gick ~ till henne] he went up to her
ett ljus;1. a light- a candle- 2. [ett trafik~] a traffic light
en sjukdom;an illness- a disease
en unge;1. a young animal or bird- 2. (informal) a child a brat- 3. [en bus~] a little rascal
i form av;in the form of- in the shape of- in terms of
en vikt;1. a weight- 2. an importance- 3. [jag inser fullkomligt ~en av] I am fully aware of the importance of
rik;1. rich- 2. [hon är ~ som ett troll] she's rolling in money (literally: 'she is as rich as a troll')
en region;a region (loan word)
ett samtal;1. a conversation- a discussion- 2. [att ringa ett ~] to make a telephone call
negativ;negative (loan word)
mycket;1. a lot- much- 2. [vi har ~ att göra] we have a lot to do
i år;this year
i gång;1. in motion- started- moving- 2. [jag kan inte få ~ bilen] I can't get the car started
en vändning;1. a turn- a twist (metaphorical)- 2. a change- 3. [en ~ till det bättre] a change for the better- 4. [en ~ till det sämre] a change for the worse
antingen (...) eller;either (...) or
att föda;to give birth to
åter;back- again
en arbetare;a worker
att skjuta;1. to shoot- to fire- 2. to shove- to push
en tradition;1. a tradition- 2. [värna om gamla ~er] to preserver- to uphold old traditions (loan word)
att hämta;1. to fetch- to get- to collect- 2. to download
en församling;1. an assembly- meeting- 2. a church congregation- a church community- a parish
ett hav;1. a sea- an ocean- 2. [Medel~et] the Mediterranean Sea
en energi;1. an energy- 2. [icke förnybara ~källor] non-renewable sources of energy (loan word)
bred;1. broad- wide- 2. [en ~ klyfta] a wide gap
vad gäller;1. at- with regard to- regarding- as far as (X) is concerned- 2. [~ saken?] what is this about? what can I do for you?
att påpeka;to point out
att bättra;1. [att ~ på] to improve (sth.)- 2. [att ~ sig] to improve oneself- to get better
att skaffa;1. to get- to obtain- 2. [att ~ barn] to have children- to start a family
att utgå;1. to start out (from)- to come (from)- 2. [att ~ från] to assume- 3. to be excluded- 4. to run out- expire- 5. [att ~ med] to be payable on
samtlig;all (formal- only used in written Swedish)
att stärka;1. to strengthen- 2. [att ~ sig] to fortify oneself- 3. to starch
en läkare;a doctor (not a loan word)
fattig;poor
ett grepp;1. a grip- a grasp- 2. [ett fast ~ om] a firm grip on
fast;1. stuck- immobile- fast- 2. [att köra ~] to get stuck- to come to a standstill- to be stuck fast
hej;1. hi- hey- 2. [~ ~] bye-bye!- 3. [~ då] bye! see you!
att utsätta;1. to expose- to subject (s.o. to sth.)- 2. [att ~ sig för ngt.]- 3. [han ~s för rasism] he was the victim of racism
spännande;1. exciting- 2. [vad ~!] how exciting!
fort;1. quickly- 2. soon [så ~ som möjligt]
en sikt;1. a visibility- a view- 2. a term- run- 3. a sight- 4. a sieve- a strainer- 5. [på lång ~] in the long run- in the long term
en revolution;a revolution (loan word)
ett brev;1. a letter (as in a letter to someone)- 2. [sju ~ kom fram i tid] seven letters arrived on time
en personal;1. a personnel- a staff- 2. [blåljus~] emergency services personnel- i.e fire- police- ambulance (loan word)
en skada;an injury- a harm- a damage
illa;1. badly- poorly- not well- 2. [tar inte ~ upp!] don't take this the wrong way- don't take offence- no offence meant!
att kämpa;1. to fight- to struggle- to strive- 2. [~ på!] keep on fighting!
alltför;far too- overly
ett tecken;a sign- a symbol
en siffra;1. a numeral- 2. a figure- 3. a digit- a number- 4. [tittar~or] viewing figures (i.e. number of people who watched a TV show)
tydligt;clearly [klart och ~]
ännu;1. still- yet (time)- 2. additionally- 3. even (+ comparative)- 4. [~ bättre] even better
hårt;1. hard- severely- very- 2. tight- firm- 3. [byxorna sitter ~] these trousers are too tight
absolut;absolutely (loan word)
att eka;to echo
engelsk;English (referring to the nationality of someone- not the language)
en praktik;1. (an) experience- practice in doing sth.- (a) practical work experience- 2. a practice (e.g. of a doctor)- 3. [i ~en] in practice
förmodligen;1. presumably (not: "antagligen")
att hoppa;1. to jump- 2. [att ~ över något] to skip sth.- to leave sth. out
en morgon;1. a morning- 2. [god ~] good morning- 3. [en sov~] a lie-in- a late start
en tjej;1. an older girl- teen- 2. a young woman- 3. [~kompisar] girlfriends
konstig;1. strange- weird- 2. (used to describe odd physical sensations) [jag har en ~ känsla i magen] I have a weird feeling in my stomach
en union;1. a union (e.g. of states)- 2. [Europeiska ~en] the European Union (loan word)
kommande;coming
att avgöra;1. to decide sth.- 2. to settle- to conclude- 3. to determine- 4. [~t alltså!] so that's decided then!
en chef;1. a boss- a superior- a head- a principal- 2. a manager- a director- 3. an employer (loan word from French)
ett vis;a manner- a way (the noun is often added onto words to make an adverb)
en strid;1. a fight- a struggle- a battle- 2. a conflict- dispute- 3. (i ~ med) in contravention of- 4. [klart för ~!] action stations!
att sända;1. to send- 2. to broadcast
att missa;to miss sth. (e.g. a train- an opportunity- a chance)
att bedriva;1. to do- pursue- engage in (an activity)- 2. to operate- to run (a business)
etcetera;etcetera (loan word from Latin)
att anföra;1. to be in command- to lead- to guide- 2. to state- to allege- to give reasons- to present evidence (law)- 3. to quote sth.
varm;warm
hit;1. here- hither (movement towards self)- 2. [kom ~!] come here!
en berättelse;1. a story- a tale (a thing which is told)
en produktion;a production (loan word)
ett kapitel;a chapter (loan word)
att hindra;1. to stop- to prevent- 2. [försök inte ~ mig] don't try and stop me- 3. [att ~ någon från att göra något] to stop or prevent somebody from doing something- 4. to hinder- to obstruct- to block
en konst;1. an art- 2. [samtida ~] contemporary art
speciell;1. peculiar- different- 2. [han är lite ~] he's a bit strange- 3. special- 4. specific- particular (loan word)
ett allvar;1. [att ta något på ~] to take sth. seriously- 2. a seriousness- gravity- enormity- severity
grön;1. green- 2. [när trafikljuset slog om till ~t] when the traffic lights turned green
en vår;a spring (as in season)
att meddela;to inform- to notify (not a loan word)
omöjlig;impossible
att vägra;to refuse
ett rike;1. a country- a state (often one with a monarchy)- 2. a kingdom- an empire- 3. a domain- a sphere
att framgå;to be clear- evident- apparent (from)- to seem
judisk;Jewish
att studera;to study (loan word)
farlig;dangerous
en framgång;1. a success- 2. [ett recept på ~] a recipe for success
att tolka;to interpret
billig;cheap
iväg;1. away- off- 2. [hon körde ~] she drove off
en student;1. a student- 2. [att ta ~en] to graduate from school at 18- 3. [en ~mössa] a school graduation cap- 4. [en ~plakat] a graduation placard
och så vidare;and so on- et cetera (not a loan word)
visserligen;1. indeed (often combined with "men"- meaning 'it is true that ....- but ...')
en vara;a good- a commodity (a thing that can be sold)
ett undantag;an exception- an exemption
tillgänglig;1. accessible- available- 2. approachable- sociable
enorm;enormous- huge (loan word)
att behålla;to keep- to retain
att dricka;to drink
en aktion;an action (loan word)
att bry sig om;to care- to bother about sth. or s.o.
relativt;relatively (loan word)
tung;1. heavy- 2. difficult- 3. [ett två kilo ~t paket] a two-kilo package- 3. [~a steg] heavy footsteps- 4. [en ~ suck] a heavy sigh
en arbetsgivare;an employer
med hjälp av;with the help of- by means of- via
tvärtom;on the contrary- vice versa
att notera;to note (loan word)
en nation;1. a nation- 2. [Förenta ~erna] the United Nations (loan word)
att sänka;1. to lower- to sink- 2. to reduce- 3. [att ~ blodtrycket] to bring down your blood pressure
ett ärende;1. an errand- 2. a commission- 3. a message- 4. a case (also criminal)- a matter
en givare;a donator- a donor (not a loan word)
en kull;a litter (of baby animals)
nyligen;1. recently- newly- 2. 	[~ anlände invandrare] newly arrived immigrants- 3. [tills helt ~] until quite recently
en rättelse;a correction
delvis;partially- partly- in part
att medföra;1. to bring sth- to carry sth.- 2. to result in sth. to bring about sth.
att ifrågasätta;to doubt- to question- to challenge
för övrigt;1. by the way- incidentally- 2. what's more- besides- moreover- 3. otherwise- 4. in other respects
ett län;a county- an administrative province
en gata;a street
medveten;1. aware- 2. [att vara ~ om att] to be aware that- 3. [att vara fullt ~ om något] to be fully aware of sth.
en serie;a series (loan word)
rimlig;fair- adequate- reasonable- decent
ty;for- because (formal- usually only written)
en invandrare;an immigrant (not a loan word)
en dörr;1. a door- 2. [att slå upp ~en] to open the door- to throw open the door- 3. [att slå igen ~en] to slam the door closed
ett direktiv;a directive (loan word)
att stiga;1. to step- to tread- 2. to climb- to go upwards- 3. to rise- to increase- 4. [han ~er upp tidigt] he gets up early
att tiga;to say nothing- to keep quiet
en fot;1. a foot- 2. [till ~s] on foot- 3. [att gå till ~s] to walk- to go on foot
att tillämpa;to apply- to practice- to put into practice
ett skydd;1. a protection- a shelter- a refuge- 2. a defence- 3. a security- a cover
hittills;so far- until now
sällan;seldom
en position;a position (loan word)
en behandling;a treatment
omfattande;1. comprehensive- extensive- widespread- 2. [den mest ~ studien] the most comprehensive study
en skog;1. a forest- 2. [dra åt ~en!] go to hell!
att kritisera;to criticize (loan word)
en förklaring;1. an explanation- 2. a declaration- a statement
att springa;to run
oerhört;1. extremely- unbelievably- 2. [ett brev kan betyda ~ mycket] a letter can mean such a lot
att uppfatta;1. to understand- to perceive- to hear- 2. to regard- 3. to interpret- 4. [~t- Bravo 6] Roger that- Bravo 6- copy that- Bravo 6- 5. [är det ~?] have you got that?- is that understood?
ett foto;a photo (loan word)
en islam;an Islam (loan word)
att stänga;to close
en aning;1. an idea- 2. [jag har ingen ~ !] I don’t have a clue- no idea!- 3. a small amount- a touch- a trace- 4. [en ~ bättre] ever so slightly better
ett försvar;a defense
en meter;a meter (loan word)
en evolution;an evolution (loan word)
en funktion;1. a function- 2. [hissen är ur ~] the lift is out of order- the elevator is not working (loan word)
en dotter;a daughter
en värdering;1. a valuation- an appraisal- 2. [han har andra ~ar] he has a different set of values
att råda;1. to advise- to recommend- 2. to rule- 3. to prevail- to exist- 4. [det ~er inget tvivel] there is no doubt
en ersättning;1. a compensation- a reimbursement- 2. (insurance) damages- 3. a replacement- a substitute
borta;1. away- 2. [där ~] over there- 3. gone- passed away
regional;1. regional- 2. [~a nyheter] regional news
framåt;1. forward- [han lutade sig ~] he leaned forward- 3. [~ eller bakåt] forwards or backwards
en karaktär;1. a character- 2. nature- quality- 3. disposition- mentality- 4. willpower- 5. [jag har dålig ~] I have no willpower
en skiva;1. a slice- 2. a disc- a CD- a vinyl record- 3. [att släppa ny ~] to release a new record (song etc.)
omkring;1. around- about- 2. [vida ~] far and wide- 3. [när allt kommer ~] when all is said and done- after all- at the end of the day
ett ansikte;1. a face- 2. [han blev röd i ~et] he went red in the face- 3. [ett bekant ~] a familiar face
